category,tag,problem_id,title,difficulty,diff_band,solver,url
Data-Structure,Binary-Indexed-Tree,chokudai_S001_h,H. LIS,,unknown,2742,https://atcoder.jp/contests/chokudai_S001/tasks/chokudai_S001_h
Data-Structure,Binary-Indexed-Tree,chokudai_S001_j,J. 転倒数,,unknown,2245,https://atcoder.jp/contests/chokudai_S001/tasks/chokudai_S001_j
Data-Structure,Binary-Indexed-Tree,typical90_q,017. Crossing Segments（★7）,,unknown,1467,https://atcoder.jp/contests/typical90/tasks/typical90_q
Data-Structure,Binary-Indexed-Tree,chokudai_S001_k,K. 辞書順で何番目？,,unknown,734,https://atcoder.jp/contests/chokudai_S001/tasks/chokudai_S001_k
Data-Structure,Binary-Indexed-Tree,typical90_ck,089. Partitions and Inversions（★7）,,unknown,653,https://atcoder.jp/contests/typical90/tasks/typical90_ck
Data-Structure,Binary-Indexed-Tree,joisc2008_typhoon,typhoon. 台風 (Typhoon),,unknown,383,https://atcoder.jp/contests/joisc2008/tasks/joisc2008_typhoon
Data-Structure,Binary-Indexed-Tree,joisc2011_bookshelf,bookshelf. 本棚 (Bookshelf),,unknown,369,https://atcoder.jp/contests/joisc2011/tasks/joisc2011_bookshelf
Data-Structure,Binary-Indexed-Tree,indeednow_2015_finalb_e,E. Line up!,,unknown,314,https://atcoder.jp/contests/indeednow-finalb-open/tasks/indeednow_2015_finalb_e
Data-Structure,Binary-Indexed-Tree,ttpc2019_m,M. Inversion Numbers of Tree,,unknown,190,https://atcoder.jp/contests/ttpc2019/tasks/ttpc2019_m
Data-Structure,Binary-Indexed-Tree,wupc_07,G. だるま落とし,,unknown,134,https://atcoder.jp/contests/wupc2nd/tasks/wupc_07
Data-Structure,Binary-Indexed-Tree,nikkei2019_2_final_e,E. Notorious B.I.T.,,unknown,102,https://atcoder.jp/contests/nikkei2019-2-final/tasks/nikkei2019_2_final_e
Data-Structure,Lazy-Segment-Tree,abc323_b,B. Round-Robin Tournament,-267,<0,16615,https://atcoder.jp/contests/abc323/tasks/abc323_b
Data-Structure,Lazy-Segment-Tree,abc341_e,E. Alternating String,1223,1200-1599,5128,https://atcoder.jp/contests/abc341/tasks/abc341_e
Data-Structure,Lazy-Segment-Tree,arc045_b,B. ドキドキデート大作戦高橋君,1526,1200-1599,1797,https://atcoder.jp/contests/arc045/tasks/arc045_b
Data-Structure,Lazy-Segment-Tree,abc327_f,F. Apples,1624,1600-1999,2862,https://atcoder.jp/contests/abc327/tasks/abc327_f
Data-Structure,Lazy-Segment-Tree,abl_e,E. Replace Digits,1706,1600-1999,2100,https://atcoder.jp/contests/abl/tasks/abl_e
Data-Structure,Lazy-Segment-Tree,abc179_f,F. Simplified Reversi,1713,1600-1999,2949,https://atcoder.jp/contests/abc179/tasks/abc179_f
Data-Structure,Lazy-Segment-Tree,abc332_f,F. Random Update Query,1786,1600-1999,2308,https://atcoder.jp/contests/abc332/tasks/abc332_f
Data-Structure,Lazy-Segment-Tree,abc357_f,F. Two Sequence Queries,1793,1600-1999,3084,https://atcoder.jp/contests/abc357/tasks/abc357_f
Data-Structure,Lazy-Segment-Tree,abc322_f,F. Vacation Query,1806,1600-1999,2510,https://atcoder.jp/contests/abc322/tasks/abc322_f
Data-Structure,Lazy-Segment-Tree,abc441_g,G. Takoyaki and Flip,1985,1600-1999,1309,https://atcoder.jp/contests/abc441/tasks/abc441_g
Data-Structure,Lazy-Segment-Tree,abc428_f,F. Pyramid Alignment,2073,2000-2399,1072,https://atcoder.jp/contests/abc428/tasks/abc428_f
Data-Structure,Lazy-Segment-Tree,abc237_g,G. Range Sort Query,2088,2000-2399,1735,https://atcoder.jp/contests/abc237/tasks/abc237_g
Data-Structure,Lazy-Segment-Tree,abc177_f,F. I hate Shortest Path Problem,2291,2000-2399,1409,https://atcoder.jp/contests/abc177/tasks/abc177_f
Data-Structure,Lazy-Segment-Tree,abc211_f,F. Rectilinear Polygons,2350,2000-2399,839,https://atcoder.jp/contests/abc211/tasks/abc211_f
Data-Structure,Lazy-Segment-Tree,abc255_h,Ex. Range Harvest Query,2430,2400-2799,848,https://atcoder.jp/contests/abc255/tasks/abc255_h
Data-Structure,Lazy-Segment-Tree,arc056_d,D. サケノミ,2870,2800-3199,149,https://atcoder.jp/contests/arc056/tasks/arc056_d
Data-Structure,Lazy-Segment-Tree,typical90_ac,029. Long Bricks（★5）,,unknown,3478,https://atcoder.jp/contests/typical90/tasks/typical90_ac
Data-Structure,Lazy-Segment-Tree,dp_w,W. Intervals,,unknown,3348,https://atcoder.jp/contests/dp/tasks/dp_w
Data-Structure,Lazy-Segment-Tree,practice2_k,K. Range Affine Range Sum,,unknown,1619,https://atcoder.jp/contests/practice2/tasks/practice2_k
Data-Structure,Lazy-Segment-Tree,practice2_l,L. Lazy Segment Tree,,unknown,1266,https://atcoder.jp/contests/practice2/tasks/practice2_l
Data-Structure,Lazy-Segment-Tree,past202004_n,N. Building Construction,,unknown,482,https://atcoder.jp/contests/past202004-open/tasks/past202004_n
Data-Structure,Lazy-Segment-Tree,past202107_n,N. Monochrome Design,,unknown,209,https://atcoder.jp/contests/past202107-open/tasks/past202107_n
Data-Structure,Lazy-Segment-Tree,joi2013ho5,5. バブルソート (Bubble Sort),,unknown,185,https://atcoder.jp/contests/joi2013ho/tasks/joi2013ho5
Data-Structure,Lazy-Segment-Tree,iroha2019_day2_k,K. 虫取り,,unknown,103,https://atcoder.jp/contests/iroha2019-day2/tasks/iroha2019_day2_k
Data-Structure,Lazy-Segment-Tree,icpc2015autumn_h,H. Donut Decoration,,unknown,57,https://atcoder.jp/contests/jag2015autumn/tasks/icpc2015autumn_h
Data-Structure,Segment-Tree,abc349_d,D. Divide Interval,832,800-1199,7476,https://atcoder.jp/contests/abc349/tasks/abc349_d
Data-Structure,Segment-Tree,abc039_d,D. 画像処理高橋君,1039,800-1199,3545,https://atcoder.jp/contests/abc039/tasks/abc039_d
Data-Structure,Segment-Tree,abc185_f,F. Range Xor Query,1053,800-1199,6841,https://atcoder.jp/contests/abc185/tasks/abc185_f
Data-Structure,Segment-Tree,abc239_e,E. Subtree K-th Max,1084,800-1199,5922,https://atcoder.jp/contests/abc239/tasks/abc239_e
Data-Structure,Segment-Tree,abc194_e,E. Mex Min,1088,800-1199,7006,https://atcoder.jp/contests/abc194/tasks/abc194_e
Data-Structure,Segment-Tree,abc339_e,E. Smooth Subsequence,1109,800-1199,5657,https://atcoder.jp/contests/abc339/tasks/abc339_e
Data-Structure,Segment-Tree,abc340_e,E. Mancala 2,1157,800-1199,4799,https://atcoder.jp/contests/abc340/tasks/abc340_e
Data-Structure,Segment-Tree,abc241_d,D. Sequence Query,1177,800-1199,7293,https://atcoder.jp/contests/abc241/tasks/abc241_d
Data-Structure,Segment-Tree,abc125_c,C. GCD on Blackboard,1197,800-1199,15385,https://atcoder.jp/contests/abc125/tasks/abc125_c
Data-Structure,Segment-Tree,abc341_e,E. Alternating String,1223,1200-1599,5128,https://atcoder.jp/contests/abc341/tasks/abc341_e
Data-Structure,Segment-Tree,abc351_f,F. Double Sum,1253,1200-1599,4790,https://atcoder.jp/contests/abc351/tasks/abc351_f
Data-Structure,Segment-Tree,abc247_e,E. Max Min,1256,1200-1599,5418,https://atcoder.jp/contests/abc247/tasks/abc247_e
Data-Structure,Segment-Tree,abl_d,D. Flat Subsequence,1283,1200-1599,3681,https://atcoder.jp/contests/abl/tasks/abl_d
Data-Structure,Segment-Tree,abc437_f,F. Manhattan Christmas Tree 2,1332,1200-1599,3031,https://atcoder.jp/contests/abc437/tasks/abc437_f
Data-Structure,Segment-Tree,abc343_f,F. Second Largest Query,1370,1200-1599,5290,https://atcoder.jp/contests/abc343/tasks/abc343_f
Data-Structure,Segment-Tree,abc272_e,E. Add and Mex,1434,1200-1599,4234,https://atcoder.jp/contests/abc272/tasks/abc272_e
Data-Structure,Segment-Tree,abc157_e,E. Simple String Queries,1443,1200-1599,5399,https://atcoder.jp/contests/abc157/tasks/abc157_e
Data-Structure,Segment-Tree,abc231_f,F. Jealous Two,1580,1200-1599,3067,https://atcoder.jp/contests/abc231/tasks/abc231_f
Data-Structure,Segment-Tree,abc223_f,F. Parenthesis Checking,1641,1600-1999,3151,https://atcoder.jp/contests/abc223/tasks/abc223_f
Data-Structure,Segment-Tree,arc033_3,C. データ構造,1641,1600-1999,2270,https://atcoder.jp/contests/arc033/tasks/arc033_3
Data-Structure,Segment-Tree,nikkei2019_2_qual_d,D. Shortest Path on a Line,1647,1600-1999,2478,https://atcoder.jp/contests/nikkei2019-2-qual/tasks/nikkei2019_2_qual_d
Data-Structure,Segment-Tree,code_festival_qualB_d,D. 登山家,1651,1600-1999,1077,https://atcoder.jp/contests/code-festival-2014-qualb/tasks/code_festival_qualB_d
Data-Structure,Segment-Tree,donuts_2015_3,C. 行列のできるドーナツ屋,1661,1600-1999,1000,https://atcoder.jp/contests/donuts-2015/tasks/donuts_2015_3
Data-Structure,Segment-Tree,abc254_f,F. Rectangle GCD,1764,1600-1999,2731,https://atcoder.jp/contests/abc254/tasks/abc254_f
Data-Structure,Segment-Tree,abc038_d,D. プレゼント,1804,1600-1999,2607,https://atcoder.jp/contests/abc038/tasks/abc038_d
Data-Structure,Segment-Tree,abc165_f,F. LIS on Tree,1843,1600-1999,3713,https://atcoder.jp/contests/abc165/tasks/abc165_f
Data-Structure,Segment-Tree,arc026_3,C. 蛍光灯,1930,1600-1999,989,https://atcoder.jp/contests/arc026/tasks/arc026_3
Data-Structure,Segment-Tree,jsc2021_f,F. Max Matrix,1954,1600-1999,1154,https://atcoder.jp/contests/jsc2021/tasks/jsc2021_f
Data-Structure,Segment-Tree,abc256_f,F. Cumulative Cumulative Cumulative Sum,2067,2000-2399,2041,https://atcoder.jp/contests/abc256/tasks/abc256_f
Data-Structure,Segment-Tree,abc237_g,G. Range Sort Query,2088,2000-2399,1735,https://atcoder.jp/contests/abc237/tasks/abc237_g
Data-Structure,Segment-Tree,arc035_d,D. 高橋くんとマラソンコース,2173,2000-2399,439,https://atcoder.jp/contests/arc035/tasks/arc035_d
Data-Structure,Segment-Tree,arc017_4,D. ARCたんクッキー,2244,2000-2399,416,https://atcoder.jp/contests/arc017/tasks/arc017_4
Data-Structure,Segment-Tree,arc080_c,E. Young Maids,2277,2000-2399,1606,https://atcoder.jp/contests/arc080/tasks/arc080_c
Data-Structure,Segment-Tree,abc136_f,F. Enclosed Points,2334,2000-2399,1528,https://atcoder.jp/contests/abc136/tasks/abc136_f
Data-Structure,Segment-Tree,mujin_pc_2016_d,D. Parenthesis Sequence,2404,2400-2799,302,https://atcoder.jp/contests/mujin-pc-2016/tasks/mujin_pc_2016_d
Data-Structure,Segment-Tree,arc008_4,D. タコヤキオイシクナール,2430,2400-2799,1021,https://atcoder.jp/contests/arc008/tasks/arc008_4
Data-Structure,Segment-Tree,arc027_4,D. ぴょんぴょんトレーニング,2474,2400-2799,177,https://atcoder.jp/contests/arc027/tasks/arc027_4
Data-Structure,Segment-Tree,abc256_h,Ex. I like Query Problem,2531,2400-2799,959,https://atcoder.jp/contests/abc256/tasks/abc256_h
Data-Structure,Segment-Tree,arc038_c,C. 茶碗と豆,2531,2400-2799,426,https://atcoder.jp/contests/arc038/tasks/arc038_c
Data-Structure,Segment-Tree,arc067_d,F. Yakiniku Restaurants,2729,2400-2799,1466,https://atcoder.jp/contests/arc067/tasks/arc067_d
Data-Structure,Segment-Tree,arc076_d,F. Exhausted?,2819,2800-3199,1288,https://atcoder.jp/contests/arc076/tasks/arc076_d
Data-Structure,Segment-Tree,arc025_4,D. コンセント,2863,2800-3199,76,https://atcoder.jp/contests/arc025/tasks/arc025_4
Data-Structure,Segment-Tree,arc073_d,F. Many Moves,2867,2800-3199,1320,https://atcoder.jp/contests/arc073/tasks/arc073_d
Data-Structure,Segment-Tree,arc049_d,D. すわっぷしまーす,2988,2800-3199,63,https://atcoder.jp/contests/arc049/tasks/arc049_d
Data-Structure,Segment-Tree,arc054_d,D. バブルソート,3095,2800-3199,60,https://atcoder.jp/contests/arc054/tasks/arc054_d
Data-Structure,Segment-Tree,dp_q,Q. Flowers,,unknown,10848,https://atcoder.jp/contests/dp/tasks/dp_q
Data-Structure,Segment-Tree,chokudai_S001_h,H. LIS,,unknown,2742,https://atcoder.jp/contests/chokudai_S001/tasks/chokudai_S001_h
Data-Structure,Segment-Tree,practice2_j,J. Segment Tree,,unknown,2401,https://atcoder.jp/contests/practice2/tasks/practice2_j
Data-Structure,Segment-Tree,chokudai_S001_j,J. 転倒数,,unknown,2245,https://atcoder.jp/contests/chokudai_S001/tasks/chokudai_S001_j
Data-Structure,Segment-Tree,tessoku_book_bf,A58. RMQ (Range Maximum Queries),,unknown,2237,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bf
Data-Structure,Segment-Tree,past202107_l,L. Multiple Min Query,,unknown,421,https://atcoder.jp/contests/past202107-open/tasks/past202107_l
Data-Structure,Segment-Tree,codefestival_2015_final_d,D. 足ゲームII,,unknown,396,https://atcoder.jp/contests/code-festival-2015-final-open/tasks/codefestival_2015_final_d
Data-Structure,Segment-Tree,joisc2008_typhoon,typhoon. 台風 (Typhoon),,unknown,383,https://atcoder.jp/contests/joisc2008/tasks/joisc2008_typhoon
Data-Structure,Segment-Tree,code_festival_2018_final_e,E. Tough Journey,,unknown,354,https://atcoder.jp/contests/code-festival-2018-final-open/tasks/code_festival_2018_final_e
Data-Structure,Segment-Tree,s8pc_2_h,H. Counting 1's,,unknown,352,https://atcoder.jp/contests/s8pc-2/tasks/s8pc_2_h
Data-Structure,Segment-Tree,nikkei2019_2_final_c,C. Largest N,,unknown,274,https://atcoder.jp/contests/nikkei2019-2-final/tasks/nikkei2019_2_final_c
Data-Structure,Segment-Tree,ddcc2019_final_d,D. DISCO!,,unknown,233,https://atcoder.jp/contests/ddcc2019-final/tasks/ddcc2019_final_d
Data-Structure,Segment-Tree,tkppc4_1_n,N. multiple,,unknown,123,https://atcoder.jp/contests/tkppc4-1/tasks/tkppc4_1_n
Data-Structure,Segment-Tree,iroha2019_day2_j,J. ライ麦畑で待ちながら,,unknown,74,https://atcoder.jp/contests/iroha2019-day2/tasks/iroha2019_day2_j
Data-Structure,Segment-Tree,pakencamp_2019_day3_f,F. クリスマス飾り2,,unknown,51,https://atcoder.jp/contests/pakencamp-2019-day3/tasks/pakencamp_2019_day3_f
Data-Structure,Segment-Tree,pakencamp_2019_day3_g,G. プレゼント配り2,,unknown,13,https://atcoder.jp/contests/pakencamp-2019-day3/tasks/pakencamp_2019_day3_g
Data-Structure,Sparse-Table,abc189_c,C. Mandarin Orange,565,400-799,12463,https://atcoder.jp/contests/abc189/tasks/abc189_c
Data-Structure,Sparse-Table,abc282_f,F. Union of Two Sets,1734,1600-1999,2311,https://atcoder.jp/contests/abc282/tasks/abc282_f
Data-Structure,Sparse-Table,arc023_4,D. GCD区間,2511,2400-2799,469,https://atcoder.jp/contests/arc023/tasks/arc023_4
Data-Structure,Sparse-Table,past202012_n,N. Travel Agency,,unknown,346,https://atcoder.jp/contests/past202012-open/tasks/past202012_n
Data-Structure,Union-Find-Tree,abc325_c,C. Sensors,400,400-799,9874,https://atcoder.jp/contests/abc325/tasks/abc325_c
Data-Structure,Union-Find-Tree,abl_c,C. Connect Cities,435,400-799,6979,https://atcoder.jp/contests/abl/tasks/abl_c
Data-Structure,Union-Find-Tree,abc288_c,C. Don’t be cycle,436,400-799,9239,https://atcoder.jp/contests/abc288/tasks/abc288_c
Data-Structure,Union-Find-Tree,abc287_c,C. Path Graph?,466,400-799,9066,https://atcoder.jp/contests/abc287/tasks/abc287_c
Data-Structure,Union-Find-Tree,abc269_d,D. Do use hexagon grid,612,400-799,7601,https://atcoder.jp/contests/abc269/tasks/abc269_d
Data-Structure,Union-Find-Tree,abc285_d,D. Change Usernames,663,400-799,7222,https://atcoder.jp/contests/abc285/tasks/abc285_d
Data-Structure,Union-Find-Tree,abc333_d,D. Erase Leaves,704,400-799,8354,https://atcoder.jp/contests/abc333/tasks/abc333_d
Data-Structure,Union-Find-Tree,abc231_d,D. Neighbors,726,400-799,7617,https://atcoder.jp/contests/abc231/tasks/abc231_d
Data-Structure,Union-Find-Tree,abc177_d,D. Friends,732,400-799,12236,https://atcoder.jp/contests/abc177/tasks/abc177_d
Data-Structure,Union-Find-Tree,arc106_b,B. Values,732,400-799,5572,https://atcoder.jp/contests/arc106/tasks/arc106_b
Data-Structure,Union-Find-Tree,abc142_d,D. Disjoint Set of Common Divisors,827,800-1199,11406,https://atcoder.jp/contests/abc142/tasks/abc142_d
Data-Structure,Union-Find-Tree,abc293_d,D. Tying Rope,830,800-1199,7074,https://atcoder.jp/contests/abc293/tasks/abc293_d
Data-Structure,Union-Find-Tree,abc206_d,D. KAIBUNsyo,879,800-1199,8434,https://atcoder.jp/contests/abc206/tasks/abc206_d
Data-Structure,Union-Find-Tree,abc259_d,D. Circumferences,947,800-1199,7122,https://atcoder.jp/contests/abc259/tasks/abc259_d
Data-Structure,Union-Find-Tree,arc114_b,B. Special Subsets,1000,800-1199,3765,https://atcoder.jp/contests/arc114/tasks/arc114_b
Data-Structure,Union-Find-Tree,abc229_e,E. Graph Destruction,1015,800-1199,5969,https://atcoder.jp/contests/abc229/tasks/abc229_e
Data-Structure,Union-Find-Tree,abc352_e,E. Clique Connect,1030,800-1199,6328,https://atcoder.jp/contests/abc352/tasks/abc352_e
Data-Structure,Union-Find-Tree,abc372_e,E. K-th Largest Connected Components,1042,800-1199,6024,https://atcoder.jp/contests/abc372/tasks/abc372_e
Data-Structure,Union-Find-Tree,abc276_e,E. Round Trip,1058,800-1199,5561,https://atcoder.jp/contests/abc276/tasks/abc276_e
Data-Structure,Union-Find-Tree,abc075_c,C. Bridge,1067,800-1199,9385,https://atcoder.jp/contests/abc075/tasks/abc075_c
Data-Structure,Union-Find-Tree,abc328_e,E. Modulo MST,1160,800-1199,5520,https://atcoder.jp/contests/abc328/tasks/abc328_e
Data-Structure,Union-Find-Tree,arc032_2,B. 道路工事,1169,800-1199,3167,https://atcoder.jp/contests/arc032/tasks/arc032_2
Data-Structure,Union-Find-Tree,abc334_e,E. Christmas Color Grid 1,1195,800-1199,4703,https://atcoder.jp/contests/abc334/tasks/abc334_e
Data-Structure,Union-Find-Tree,abc157_d,D. Friend Suggestions,1208,1200-1599,7208,https://atcoder.jp/contests/abc157/tasks/abc157_d
Data-Structure,Union-Find-Tree,arc107_c,C. Shuffle Permutation,1223,1200-1599,3880,https://atcoder.jp/contests/arc107/tasks/arc107_c
Data-Structure,Union-Find-Tree,abc264_e,E. Blackout 2,1229,1200-1599,4882,https://atcoder.jp/contests/abc264/tasks/abc264_e
Data-Structure,Union-Find-Tree,abc380_e,E. 1D Bucket Tool,1230,1200-1599,5011,https://atcoder.jp/contests/abc380/tasks/abc380_e
Data-Structure,Union-Find-Tree,arc097_b,D. Equals,1270,1200-1599,6971,https://atcoder.jp/contests/abc097/tasks/arc097_b
Data-Structure,Union-Find-Tree,abc235_e,E. MST + 1,1304,1200-1599,5049,https://atcoder.jp/contests/abc235/tasks/abc235_e
Data-Structure,Union-Find-Tree,abc226_e,E. Just one,1327,1200-1599,4569,https://atcoder.jp/contests/abc226/tasks/abc226_e
Data-Structure,Union-Find-Tree,abc126_e,E. 1 or 2,1340,1200-1599,7607,https://atcoder.jp/contests/abc126/tasks/abc126_e
Data-Structure,Union-Find-Tree,abc214_d,D. Sum of Maximum Weights,1341,1200-1599,7067,https://atcoder.jp/contests/abc214/tasks/abc214_d
Data-Structure,Union-Find-Tree,abc120_d,D. Decayed Bridges,1355,1200-1599,7783,https://atcoder.jp/contests/abc120/tasks/abc120_d
Data-Structure,Union-Find-Tree,arc027_2,B. 大事な数なのでZ回書きまLた。,1432,1200-1599,1553,https://atcoder.jp/contests/arc027/tasks/arc027_2
Data-Structure,Union-Find-Tree,codefestival_2016_final_c,C. Interpretation,1525,1200-1599,2331,https://atcoder.jp/contests/cf16-final/tasks/codefestival_2016_final_c
Data-Structure,Union-Find-Tree,abc238_e,E. Range Sums,1577,1200-1599,5118,https://atcoder.jp/contests/abc238/tasks/abc238_e
Data-Structure,Union-Find-Tree,abc040_d,D. 道路の老朽化対策について,1656,1600-1999,2328,https://atcoder.jp/contests/abc040/tasks/abc040_d
Data-Structure,Union-Find-Tree,abc219_e,E. Moat,1690,1600-1999,2743,https://atcoder.jp/contests/abc219/tasks/abc219_e
Data-Structure,Union-Find-Tree,abc247_f,F. Cards,1697,1600-1999,3116,https://atcoder.jp/contests/abc247/tasks/abc247_f
Data-Structure,Union-Find-Tree,apc001_d,D. Forest,1719,1600-1999,1797,https://atcoder.jp/contests/apc001/tasks/apc001_d
Data-Structure,Union-Find-Tree,arc056_b,B. 駐車場,1726,1600-1999,1366,https://atcoder.jp/contests/arc056/tasks/arc056_b
Data-Structure,Union-Find-Tree,abc279_f,F. BOX,1777,1600-1999,2475,https://atcoder.jp/contests/abc279/tasks/abc279_f
Data-Structure,Union-Find-Tree,abc131_f,F. Must Be Rectangular!,1937,1600-1999,2712,https://atcoder.jp/contests/abc131/tasks/abc131_f
Data-Structure,Union-Find-Tree,arc029_3,C. 高橋君と国家,1973,1600-1999,993,https://atcoder.jp/contests/arc029/tasks/arc029_3
Data-Structure,Union-Find-Tree,arc065_b,D. Connectivity,1996,1600-1999,5298,https://atcoder.jp/contests/abc049/tasks/arc065_b
Data-Structure,Union-Find-Tree,abc181_f,F. Silver Woods,2009,2000-2399,2072,https://atcoder.jp/contests/abc181/tasks/abc181_f
Data-Structure,Union-Find-Tree,arc112_d,D. Skate,2028,2000-2399,1677,https://atcoder.jp/contests/arc112/tasks/arc112_d
Data-Structure,Union-Find-Tree,arc036_d,D. 偶数メートル,2227,2000-2399,774,https://atcoder.jp/contests/arc036/tasks/arc036_d
Data-Structure,Union-Find-Tree,keyence2020_e,E. Bichromization,2340,2000-2399,653,https://atcoder.jp/contests/keyence2020/tasks/keyence2020_e
Data-Structure,Union-Find-Tree,arc140_d,D. One to One,2443,2400-2799,888,https://atcoder.jp/contests/arc140/tasks/arc140_d
Data-Structure,Union-Find-Tree,arc098_d,F. Donation,3189,2800-3199,923,https://atcoder.jp/contests/arc098/tasks/arc098_d
Data-Structure,Union-Find-Tree,practice2_a,A. Disjoint Set Union,,unknown,6717,https://atcoder.jp/contests/practice2/tasks/practice2_a
Data-Structure,Union-Find-Tree,typical90_l,012. Red Painting（★4）,,unknown,6630,https://atcoder.jp/contests/typical90/tasks/typical90_l
Data-Structure,Union-Find-Tree,unionfind_a,B. Union Find,,unknown,5622,https://atcoder.jp/contests/atc001/tasks/unionfind_a
Data-Structure,Union-Find-Tree,typical90_bp,068. Paired Information（★5）,,unknown,2096,https://atcoder.jp/contests/typical90/tasks/typical90_bp
Data-Structure,Union-Find-Tree,joisc2007_fiber,fiber. 光ファイバー (Fiber),,unknown,764,https://atcoder.jp/contests/joisc2007/tasks/joisc2007_fiber
Data-Structure,Union-Find-Tree,iroha2019_day2_d,D. 楽しすぎる家庭菜園,,unknown,578,https://atcoder.jp/contests/iroha2019-day2/tasks/iroha2019_day2_d
Data-Structure,Union-Find-Tree,joig2023_e,E. 運河 (Canal),,unknown,308,https://atcoder.jp/contests/joig2023-open/tasks/joig2023_e
Data-Structure,Union-Find-Tree,tkppc4_2_e,E. 引きこもり,,unknown,202,https://atcoder.jp/contests/tkppc4-2/tasks/tkppc4_2_e
Data-Structure,Union-Find-Tree,kupc2014_c,C. 占い,,unknown,159,https://atcoder.jp/contests/kupc2014/tasks/kupc2014_c
